date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-08-08,49,92,8,59,99,53,7,59,7,40,4,37,7,88,36,54,0,26,39,82,7,8,13,44,16,94,99
2025-08-09,92,0,91,55,68,39,42,72,42,68,73,22,18,53,49,24,21,11,65,91,49,89,75,35,28,81,82
2025-08-10,35,99,83,5,57,78,51,26,51,44,17,38,22,72,89,30,61,86,45,15,1,47,15,46,30,2,84
2025-08-11,71,56,25,38,38,88,69,51,69,80,59,25,67,56,56,31,34,62,31,83,53,16,62,13,61,35,12
2025-08-12,75,81,79,83,52,7,4,95,4,18,95,98,1,48,78,28,91,73,18,73,75,87,84,80,54,7,62
2025-08-13,21,54,95,17,34,89,59,19,59,74,74,19,35,41,74,40,75,27,44,82,76,42,41,35,90,96,6
2025-08-14,16,50,62,95,12,70,87,99,87,83,20,26,72,75,52,68,20,15,14,75,19,82,57,60,17,27,98
2025-08-15,77,92,21,60,85,78,64,74,64,84,80,30,85,31,81,2,39,64,56,80,1,15,16,84,74,31,3
2025-08-16,94,77,51,58,37,86,90,32,90,96,53,27,19,39,49,97,85,63,19,88,67,78,73,48,83,80,93
2025-08-17,91,23,37,47,5,59,71,5,71,10,46,80,57,13,84,67,41,49,77,91,78,92,76,51,44,34,80
2025-08-18,45,25,29,37,43,95,54,83,54,31,32,27,62,85,77,19,63,62,82,21,12,33,1,14,31,61,9
2025-08-19,50,16,54,59,48,50,93,31,93,89,41,63,91,61,26,33,2,73,59,85,31,33,13,33,44,51,56
2025-08-20,34,64,82,17,35,81,10,10,10,96,78,35,9,8,0,64,30,32,71,50,97,92,21,53,66,10,19
2025-08-21,27,50,4,83,58,32,36,1,36,73,91,32,57,17,3,23,65,96,94,10,83,19,96,83,85,9,38
2025-08-22,34,81,35,87,51,2,96,91,96,82,9,24,10,3,84,64,89,67,82,43,64,97,75,67,13,62,78
2025-08-23,22,41,92,12,86,68,48,77,48,2,43,0,87,73,20,11,32,65,73,47,14,95,96,48,88,9,51
2025-08-24,57,63,12,93,58,44,44,4,44,20,96,51,88,62,23,71,54,37,3,67,49,3,28,44,36,25,8
2025-08-25,93,42,21,57,5,46,89,8,89,64,16,49,67,43,93,78,7,51,72,82,91,37,43,66,96,81,56
2025-08-26,44,58,66,86,27,94,62,81,62,0,96,9,74,49,5,61,76,59,76,9,28,98,60,42,95,60,26
2025-08-27,52,25,47,22,62,89,24,53,24,29,43,27,89,72,12,85,94,20,87,6,22,63,28,50,21,60,96
2025-08-28,92,34,96,3,76,2,45,61,45,58,9,42,10,56,5,98,61,2,89,84,30,6,45,97,3,17,19
2025-08-29,12,62,27,77,40,82,51,63,51,36,44,22,22,61,7,20,95,93,48,95,57,88,3,8,74,27,22
2025-08-30,30,49,86,73,69,75,62,69,62,42,60,10,36,18,87,20,10,2,46,57,34,3,32,27,39,4,31
2025-08-31,39,83,37,87,61,55,92,9,92,51,67,34,16,17,28,28,8,23,51,26,43,45,42,66,54,81,95
2025-09-01,35,45,78,45,19,79,25,70,25,28,36,33,1,51,2,94,32,7,96,24,46,67,26,29,5,99,2
2025-09-02,79,68,62,26,96,25,91,25,91,29,71,59,2,80,63,44,14,63,15,5,23,82,86,8,57,69,30
2025-09-03,33,21,14,81,94,99,84,51,84,8,50,80,55,54,51,88,79,49,61,81,72,45,63,14,90,49,84
2025-09-04,43,92,54,69,40,88,19,30,19,83,33,52,68,0,51,3,80,45,16,68,13,68,70,37,45,1,40
2025-09-05,78,58,45,11,75,94,38,27,38,45,97,45,47,91,12,65,95,6,98,98,70,37,17,25,18,66,6
2025-09-06,93,80,23,62,15,84,8,3,8,11,13,5,35,96,69,67,5,80,23,55,73,53,53,9,64,31,67
