date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-08-08,Gia Lai,65878,47765,53993,98428,35348,80925,32129,56660,6232,37027,32270,73261,5709,571,2219,2252,55,16
2025-08-08,Ninh Thuận,102231,82318,51059,81634,76229,71322,4278,46008,28078,3093,95144,69814,8717,3586,5247,1217,207,13
2025-08-09,Đà Nẵng,607217,25300,93954,4579,37185,17856,47233,74128,18216,23964,51760,565,2939,6564,2805,8154,256,98
2025-08-09,Quảng Ngãi,372128,86817,84725,96774,18183,16349,2721,97250,26004,21333,90736,84502,7755,1437,8575,2544,781,33
2025-08-09,Đắk Nông,785639,7256,78367,65799,17223,36311,78536,12283,34500,36755,72749,91230,2766,7057,8884,6351,945,39
2025-08-10,Huế,601376,55302,23924,26490,90110,32850,50219,74768,33185,10076,37473,60029,8740,3616,25,1756,530,75
2025-08-10,Kon Tum,152981,90413,27388,73187,22651,17475,33263,45216,54752,13246,46948,53683,5642,4040,9415,2101,862,82
2025-08-10,Khánh Hòa,987034,4399,72991,44149,28665,75358,43808,79969,28559,56582,9190,92920,3505,2923,8729,965,544,2
2025-08-11,Huế,857798,42288,30227,36309,48728,6335,39604,81298,76680,93187,51127,7800,1770,5927,3206,3488,521,91
2025-08-11,Phú Yên,927,84668,90538,353,14150,15151,3008,18904,99471,52423,69027,57519,4341,5739,4164,4911,246,5
2025-08-12,Đắk Lắk,941126,55003,97059,91122,28088,64932,4463,26494,55711,75379,87673,27548,3779,6195,2146,101,330,58
2025-08-12,Quảng Nam,785398,44760,98640,17770,48616,33556,25493,10773,75086,60420,94222,65848,3302,5863,35,7985,102,10
2025-08-13,Đà Nẵng,724034,54854,95842,9696,75045,48631,89397,95917,47429,85642,35526,30717,1370,3634,9613,4779,486,48
2025-08-13,Khánh Hòa,235966,64115,99551,9711,80864,73035,45969,90574,87795,48714,53205,42470,8052,8691,6039,8689,473,63
2025-08-14,Bình Định,221816,69386,5112,27358,3335,85714,29847,43028,57414,50511,88459,6007,2381,761,6530,3141,248,73
2025-08-14,Quảng Trị,939537,94473,49849,42778,38079,42106,56886,33775,27670,11349,86000,75008,1948,6359,6268,6135,317,75
2025-08-14,Quảng Bình,11559,32625,24834,6259,82507,13293,9894,87533,12939,96900,53657,13858,7183,9152,2591,8462,708,70
2025-08-15,Gia Lai,673864,1056,15372,14060,28947,82547,27169,76311,84168,46910,89008,45629,680,5785,1096,2806,683,9
2025-08-15,Ninh Thuận,587261,34292,72566,92329,55869,30398,19935,68090,20383,80388,33754,23253,5233,179,3795,1819,97,34
2025-08-16,Đà Nẵng,957263,14780,54632,1474,4143,46532,5056,22613,81112,83726,78379,86426,5035,8530,6064,8201,69,58
2025-08-16,Quảng Ngãi,97562,35985,60436,55017,71344,15888,43959,11248,27048,79708,68768,52132,6374,7697,2929,9143,466,84
2025-08-16,Đắk Nông,176461,26245,48933,63859,40368,70267,6949,18008,79672,25672,77172,6365,849,3862,3987,2791,935,84
2025-08-17,Huế,215741,33765,90015,4511,68516,7994,67050,14347,2266,42645,24277,57263,6500,2804,2893,5162,705,23
2025-08-17,Kon Tum,188844,83596,488,81439,18071,85182,92842,58919,27403,21995,82964,76528,5270,4630,8931,5839,134,71
2025-08-17,Khánh Hòa,22480,67743,28665,4568,49479,99523,62125,60246,6548,39172,80515,70055,1107,5386,6573,2900,914,29
2025-08-18,Huế,759442,84642,87784,74420,92593,27735,3477,516,65064,8203,75946,4995,9988,9699,5609,5009,432,60
2025-08-18,Phú Yên,356594,54473,18574,65366,14376,97482,72525,24852,95811,13817,29750,81000,6135,9528,3134,9987,320,55
2025-08-19,Đắk Lắk,199246,3732,59541,47231,8834,91436,42482,16689,48990,21444,15530,84186,2598,2590,2932,3547,90,45
2025-08-19,Quảng Nam,839266,55557,33091,58855,81617,60221,48498,88213,61116,21753,4237,45261,712,9989,1391,9166,755,17
2025-08-20,Đà Nẵng,727120,57137,34816,91808,54654,72906,89959,72771,87960,88808,96531,96812,1444,7957,6088,2197,525,22
2025-08-20,Khánh Hòa,102551,42131,61399,93334,28614,29287,93673,48093,61047,9504,51041,48888,44,4164,9367,1154,288,30
2025-08-21,Bình Định,227526,21440,62401,32316,29681,71498,2736,73840,59027,50116,39933,56836,1953,2649,8843,5641,852,54
2025-08-21,Quảng Trị,240200,47737,72978,31923,90276,64499,81353,12187,95969,86989,10500,3546,7900,4851,935,4209,692,89
2025-08-21,Quảng Bình,847205,84512,44955,85668,65048,17436,68067,80427,93771,40704,52587,24897,5615,3601,8744,501,498,38
2025-08-22,Gia Lai,729493,55643,30799,39238,80665,64345,68426,13759,65534,4328,23597,63849,3757,4777,1985,8856,409,69
2025-08-22,Ninh Thuận,626091,51271,31999,96625,90011,35754,38947,97455,93589,11340,86948,11150,127,5581,1538,1433,913,64
2025-08-23,Đà Nẵng,598905,25648,48000,38168,30725,90592,38075,87358,61243,69768,32637,72989,62,4275,1252,4396,866,22
2025-08-23,Quảng Ngãi,803334,95751,48084,10090,64335,34183,29228,7936,65085,99197,96461,34215,8999,4062,3427,1800,117,84
2025-08-23,Đắk Nông,320981,87787,40864,32250,51528,62135,82310,49801,73533,66285,57801,26193,1358,7134,1587,8724,57,1
2025-08-24,Huế,449269,85141,54647,6412,14457,87074,78713,63905,82954,61256,68727,45085,3251,3798,6255,8835,841,35
2025-08-24,Kon Tum,956601,6717,99744,87965,23155,20760,40465,10408,27096,75601,47724,82829,8321,2669,8956,5127,525,58
2025-08-24,Khánh Hòa,236110,50412,21974,30906,88422,95295,38538,53200,64443,43045,65687,78354,6745,5955,249,9777,863,10
2025-08-25,Huế,686013,73875,43775,90436,56324,16705,73387,88775,35613,43056,55643,77236,1495,6317,8510,3451,313,7
2025-08-25,Phú Yên,67931,98007,18283,57079,17428,99643,88789,89415,93251,55636,20210,84086,4522,6311,1153,8321,344,98
2025-08-26,Đắk Lắk,78593,41563,76050,4952,67982,11271,69708,66251,3370,709,16698,2983,4522,4736,805,9876,299,47
2025-08-26,Quảng Nam,831454,55987,25943,5433,48356,32366,42656,28964,6703,25039,45297,53781,1407,5053,4579,4616,30,74
2025-08-27,Đà Nẵng,216121,27827,75667,45910,83251,10773,33541,66148,93307,43844,54851,46931,4053,2602,1204,8947,662,18
2025-08-27,Khánh Hòa,166372,55306,83133,84689,44676,35886,5075,76661,45382,13134,580,69026,2759,4200,3667,5618,576,25
2025-08-28,Bình Định,104790,47255,7567,42056,81914,52344,92352,9547,2987,41657,3330,94537,4668,1956,9386,2241,706,28
2025-08-28,Quảng Trị,690290,72176,51500,75352,68104,14125,84713,79107,64130,54584,80787,27054,3406,2968,8884,9136,2,21
2025-08-28,Quảng Bình,335160,95185,78277,57592,16738,19884,97768,6770,6736,39015,4199,15148,1161,7656,5386,5909,342,98
2025-08-29,Gia Lai,571393,54182,28255,15215,65644,90890,87969,47866,45694,38776,72149,88449,8859,1735,9610,3696,722,68
2025-08-29,Ninh Thuận,670328,1728,75685,85673,86421,39946,57607,3298,67125,66946,79824,55605,1741,1369,9154,6473,280,87
2025-08-30,Đà Nẵng,536146,43437,47541,99601,67162,7368,36120,81253,15687,72494,2603,22303,4118,8290,9236,3423,391,75
2025-08-30,Quảng Ngãi,27444,62113,80408,30208,63718,88282,9400,61668,26450,16040,59145,16907,6485,6686,2725,1367,815,60
2025-08-30,Đắk Nông,223136,14542,3824,2191,99725,62554,69971,88518,96051,68245,71283,40800,1695,2432,6625,622,977,32
2025-08-31,Huế,711687,66825,56509,79884,13487,37076,17296,67633,3008,54161,8115,16349,9120,9555,408,6608,168,33
2025-08-31,Kon Tum,668404,72314,67901,9830,40324,62175,16716,81371,14904,55834,8373,10949,357,6475,9226,7926,273,93
2025-08-31,Khánh Hòa,150300,39319,60779,6754,86209,23094,274,23523,86382,75463,78869,54024,4565,2482,3573,9187,524,91
2025-09-01,Huế,761937,3057,6407,87200,96857,69151,33582,79829,41175,38588,31641,24060,8943,9701,7089,5231,168,70
2025-09-01,Phú Yên,728153,40641,83921,97335,45277,1395,50786,66732,66715,64934,3066,79357,4521,7566,2459,4939,282,75
2025-09-02,Đắk Lắk,171688,76729,97320,49075,4284,60450,64647,79243,77334,46192,69593,23711,7908,7328,4705,3273,50,82
2025-09-02,Quảng Nam,422848,98370,91301,69959,39999,27583,24000,36385,68506,64870,18300,6254,4891,7553,5560,7791,969,32
2025-09-03,Đà Nẵng,104931,49168,21796,84392,34233,65024,97621,31757,30594,41622,54104,16885,6320,4715,7926,7210,273,34
2025-09-03,Khánh Hòa,15034,50437,72525,50894,1062,30628,66486,54673,71757,52676,16347,60786,9177,584,6423,5549,669,47
2025-09-04,Bình Định,72147,28027,27916,30995,97729,80322,64698,54513,38111,25737,30142,9843,7059,8952,286,5751,414,50
2025-09-04,Quảng Trị,477536,27518,11510,31548,80246,36329,65314,21353,55983,33863,80469,7183,5712,9919,5202,3134,571,59
2025-09-04,Quảng Bình,485369,65373,16058,99198,60589,34460,71903,74297,83710,49331,31167,66430,8679,5627,7418,1598,481,46
2025-09-05,Gia Lai,549300,18023,44782,35719,16098,67311,8554,72438,56539,56741,2664,3260,5460,4581,1594,6414,166,79
